repo,ref,workflows,scripts,config,docs,pearl_news,phoenix_v4,tests
phoenix_omega,backup/local-main-before-sync,14,91,745,78,36,130,44
phoenix_omega,codex/ei-v2-gate-fix,22,141,786,126,50,133,52
phoenix_omega,codex/ei-v2-hybrid-only-clean,12,85,740,71,36,130,44
phoenix_omega,codex/ei-v2-hybrid-pr,12,85,740,72,36,130,44
phoenix_omega,codex/github-no-failure-enforcement,30,189,836,146,64,141,54
phoenix_omega,codex/github-no-failure-enforcement-v2,23,155,797,129,64,134,52
phoenix_omega,codex/github-no-failure-enforcement-v3,26,155,797,130,64,134,52
phoenix_omega,codex/harden-pearl-news-pipeline,5,72,734,62,36,112,41
phoenix_omega,codex/no-failure-docs-refresh,23,155,797,130,64,134,52
phoenix_omega,codex/pearl-news-pr,1,63,733,48,34,111,34
phoenix_omega,codex/runtime-consolidation,33,171,801,135,64,134,52
phoenix_omega,ei-v2-hybrid-only,12,84,740,71,36,130,44
phoenix_omega,main,27,163,804,132,64,135,52
phoenix_omega,origin/codex/ei-v2-gate-fix,22,141,786,126,50,133,52
phoenix_omega,origin/codex/ei-v2-hybrid-only-clean,12,85,740,71,36,130,44
phoenix_omega,origin/codex/ei-v2-hybrid-pr,12,84,740,71,36,130,44
phoenix_omega,origin/codex/fix-pearl-news-missing-modules,1,63,733,48,36,111,34
phoenix_omega,origin/codex/fix-wp-site-url-normalization,1,63,733,48,36,111,34
phoenix_omega,origin/codex/github-no-failure-enforcement-v3,26,155,797,130,64,134,52
phoenix_omega,origin/codex/governance-100,13,85,741,76,36,126,43
phoenix_omega,origin/codex/governance-evidence-pack,13,85,741,77,36,126,43
phoenix_omega,origin/codex/harden-pearl-news-pipeline,5,72,734,62,36,112,41
phoenix_omega,origin/codex/no-failure-docs-refresh,23,155,797,130,64,134,52
phoenix_omega,origin/codex/pearl-news-pr,1,63,733,48,34,111,34
phoenix_omega,origin/codex/pearl-news-workflows-clean,23,155,797,129,64,134,52
phoenix_omega,origin/codex/runtime-consolidation,33,171,801,135,64,134,52
phoenix_omega,origin/main,23,155,797,129,64,134,52
phoenix_omega,origin/pearl-news-manual,1,62,733,47,0,111,34
phoenix_omega,pearl-news-files,8,185,1102,451,31,127,78
phoenix_omega,pearl-news-only,8,165,894,135,44,125,74
phoenix_omega,test/release-gates-check,7,164,884,127,0,122,70
phoenix_omega,worktree-agent-a05c7dd9,0,62,733,47,0,111,34
phoenix_omega,worktree-agent-a0c0fcbb,0,62,733,47,0,111,34
phoenix_omega,worktree-agent-a1659383,0,62,733,47,0,111,34
phoenix_omega,worktree-agent-a24c4bca,0,62,733,47,0,111,34
phoenix_omega,worktree-agent-a5901672,0,62,733,47,0,111,34
phoenix_omega,worktree-agent-a5b4982d,0,62,733,47,0,111,34
phoenix_omega,worktree-agent-a8b068e2,0,62,733,47,0,111,34
phoenix_omega,worktree-agent-ae0611ab,0,62,733,47,0,111,34
Qwen-Agent,codex/disable-prod-schedules,9,18,30,6,95,0,24
Qwen-Agent,main,9,18,30,6,95,0,24
Qwen-Agent,origin/codex/pearl-news-option-b,2,1,0,0,50,0,24
Qwen-Agent,origin/main,9,18,30,6,95,0,24
